model,adj_r2,significant_vars,formula
weather_to_Severity_Temperature(F)_WindSpeed(mph)_weather_unknown,0.0008591170525478198,6,"Severity ~ (Q(""Temperature(F)"") + Q(""WindSpeed(mph)"") + weather_unknown)**2"
weather_to_Severity_Temperature(F)_Precipitation(in)_WindChill(F),0.004540555479701669,3,"Severity ~ (Q(""Temperature(F)"") + Q(""Precipitation(in)"") + Q(""WindChill(F)""))**2"
weather_to_Severity_Temperature(F)_Precipitation(in)_Humidity(%),0.015216065498823705,4,"Severity ~ (Q(""Temperature(F)"") + Q(""Precipitation(in)"") + Q(""Humidity(%)""))**2"
weather_to_Severity_Temperature(F)_Precipitation(in)_Pressure(in),0.00918089880349382,5,"Severity ~ (Q(""Temperature(F)"") + Q(""Precipitation(in)"") + Q(""Pressure(in)""))**2"
weather_to_Severity_Temperature(F)_Precipitation(in)_WindSpeed(mph),0.0007882165379320405,4,"Severity ~ (Q(""Temperature(F)"") + Q(""Precipitation(in)"") + Q(""WindSpeed(mph)""))**2"
weather_to_Severity_Temperature(F)_Precipitation(in)_weather_good,0.008981166651979677,4,"Severity ~ (Q(""Temperature(F)"") + Q(""Precipitation(in)"") + weather_good)**2"
weather_to_Severity_Temperature(F)_Precipitation(in)_weather_bad,0.01010290714686457,4,"Severity ~ (Q(""Temperature(F)"") + Q(""Precipitation(in)"") + weather_bad)**2"
weather_to_Severity_Temperature(F)_Precipitation(in)_weather_neutral,0.0005205428699973647,3,"Severity ~ (Q(""Temperature(F)"") + Q(""Precipitation(in)"") + weather_neutral)**2"
weather_to_Severity_Temperature(F)_Precipitation(in)_weather_unknown,0.0005747746753133054,4,"Severity ~ (Q(""Temperature(F)"") + Q(""Precipitation(in)"") + weather_unknown)**2"
weather_to_Severity_Temperature(F)_weather_good_WindChill(F),0.00662626070369654,5,"Severity ~ (Q(""Temperature(F)"") + weather_good + Q(""WindChill(F)""))**2"
weather_to_Severity_Temperature(F)_weather_good_Humidity(%),0.00591119005650631,6,"Severity ~ (Q(""Temperature(F)"") + weather_good + Q(""Humidity(%)""))**2"
weather_to_Severity_Temperature(F)_weather_good_Pressure(in),0.0014522577883797627,5,"Severity ~ (Q(""Temperature(F)"") + weather_good + Q(""Pressure(in)""))**2"
weather_to_Severity_Temperature(F)_weather_good_WindSpeed(mph),0.0020280075575621614,4,"Severity ~ (Q(""Temperature(F)"") + weather_good + Q(""WindSpeed(mph)""))**2"
weather_to_Severity_Temperature(F)_weather_good_Precipitation(in),0.008981166651979677,4,"Severity ~ (Q(""Temperature(F)"") + weather_good + Q(""Precipitation(in)""))**2"
weather_to_Severity_Temperature(F)_weather_good_weather_bad,0.0012758653170512613,6,"Severity ~ (Q(""Temperature(F)"") + weather_good + weather_bad)**2"
weather_to_Severity_Temperature(F)_weather_good_weather_neutral,0.001334938475052616,7,"Severity ~ (Q(""Temperature(F)"") + weather_good + weather_neutral)**2"
weather_to_Severity_Temperature(F)_weather_good_weather_unknown,0.0014382967892315746,5,"Severity ~ (Q(""Temperature(F)"") + weather_good + weather_unknown)**2"
weather_to_Severity_Temperature(F)_weather_bad_WindChill(F),0.006297115670520714,5,"Severity ~ (Q(""Temperature(F)"") + weather_bad + Q(""WindChill(F)""))**2"
weather_to_Severity_Temperature(F)_weather_bad_Humidity(%),0.005795402213523149,5,"Severity ~ (Q(""Temperature(F)"") + weather_bad + Q(""Humidity(%)""))**2"
weather_to_Severity_Temperature(F)_weather_bad_Pressure(in),0.0012937924961254899,7,"Severity ~ (Q(""Temperature(F)"") + weather_bad + Q(""Pressure(in)""))**2"
weather_to_Severity_Temperature(F)_weather_bad_WindSpeed(mph),0.0016537282582146373,4,"Severity ~ (Q(""Temperature(F)"") + weather_bad + Q(""WindSpeed(mph)""))**2"
weather_to_Severity_Temperature(F)_weather_bad_Precipitation(in),0.01010290714686457,4,"Severity ~ (Q(""Temperature(F)"") + weather_bad + Q(""Precipitation(in)""))**2"
weather_to_Severity_Temperature(F)_weather_bad_weather_good,0.0012758653170505951,6,"Severity ~ (Q(""Temperature(F)"") + weather_bad + weather_good)**2"
weather_to_Severity_Temperature(F)_weather_bad_weather_neutral,0.0011231243552149994,7,"Severity ~ (Q(""Temperature(F)"") + weather_bad + weather_neutral)**2"
weather_to_Severity_Temperature(F)_weather_bad_weather_unknown,0.0013126810918141496,7,"Severity ~ (Q(""Temperature(F)"") + weather_bad + weather_unknown)**2"
weather_to_Severity_Temperature(F)_weather_neutral_WindChill(F),0.005755378265795974,5,"Severity ~ (Q(""Temperature(F)"") + weather_neutral + Q(""WindChill(F)""))**2"
weather_to_Severity_Temperature(F)_weather_neutral_Humidity(%),0.005533796803615987,4,"Severity ~ (Q(""Temperature(F)"") + weather_neutral + Q(""Humidity(%)""))**2"
weather_to_Severity_Temperature(F)_weather_neutral_Pressure(in),0.0007015589335559458,4,"Severity ~ (Q(""Temperature(F)"") + weather_neutral + Q(""Pressure(in)""))**2"
weather_to_Severity_Temperature(F)_weather_neutral_WindSpeed(mph),0.0007060418813241709,4,"Severity ~ (Q(""Temperature(F)"") + weather_neutral + Q(""WindSpeed(mph)""))**2"
weather_to_Severity_Temperature(F)_weather_neutral_Precipitation(in),0.0005205428699973647,3,"Severity ~ (Q(""Temperature(F)"") + weather_neutral + Q(""Precipitation(in)""))**2"
weather_to_Severity_Temperature(F)_weather_neutral_weather_good,0.001334938475052283,7,"Severity ~ (Q(""Temperature(F)"") + weather_neutral + weather_good)**2"
